Зона,Название,URL,RSS,Тип,Регион/язык,Тематика,Частота,Скор,Приоритет,Чем ценен / заметки
Рунет / RU-источники,Блог Яндекса для вебмастеров,https://webmaster.yandex.ru/blog/,https://webmaster.yandex.ru/blog/rss,блог платформы (первоисточник),РФ/ru,"официальные SEO-апдейты Яндекса, ИКС, видимость в Алисе (AEO/GEO)",~1/мес,90,ядро,Прямой RU-аналог Google Search Central Blog
Рунет / RU-источники,Хабр: хаб «Поисковая оптимизация»,https://habr.com/ru/hub/seo/,https://habr.com/ru/rss/hub/seo/all/,агрегированный поток практиков (Habr hub),РФ/ru,"SEO, технический аудит, видимость в нейросетях",ежедневно,82,ядро,Оригинальные разборы практикующих SEO-специалистов
Рунет / RU-источники,Хабр: хаб «Интернет-маркетинг»,https://habr.com/ru/hub/internetmarketing/,https://habr.com/ru/rss/hub/internetmarketing/all/,агрегированный поток практиков (Habr hub),РФ/ru,"digital-маркетинг, автоматизация продвижения, AI в маркетинге",ежедневно,80,ядро,Авторы преимущественно практикующие маркетологи
Рунет / RU-источники,Хабр: хаб «Контекстная реклама»,https://habr.com/ru/hub/context/,https://habr.com/ru/rss/hub/context/all/,агрегированный поток практиков (Habr hub),РФ/ru,"PPC, Яндекс Директ, Telegram Ads",неск./нед,76,ядро,Разборы с цифрами по Директу и рекламе в Telegram
Рунет / RU-источники,Хабр: хаб «Искусственный интеллект»,https://habr.com/ru/hub/artificial_intelligence/,https://habr.com/ru/rss/hub/artificial_intelligence/all/,агрегированный поток практиков (Habr hub),РФ/ru,ИИ-инструменты и модели,ежедневно (много),70,вспомогательный,Шумный хаб — нужен фильтр по релевантности при отборе
Рунет / RU-источники,Хабр: хаб «Growth Hacking»,https://habr.com/ru/hub/growthhacking/,https://habr.com/ru/rss/hub/growthhacking/all/,агрегированный поток практиков (Habr hub),РФ/ru,"рост продукта, CRO, AI-эксперименты в маркетинге",неск./мес,66,вспомогательный,Точечные материалы про AI-эксперименты в маркетинге
Рунет / RU-источники,Хабр: блог компании Just AI,https://habr.com/ru/companies/just_ai/articles/,https://habr.com/ru/rss/companies/just_ai/articles/,блог компании (первоисточник),РФ/ru,"разговорный ИИ, AI-агенты для бизнеса",~2-4/мес,66,вспомогательный,Лидер RU-рынка разговорного ИИ/чат-ботов
Рунет / RU-источники,Хабр: блог компании MWS AI (экс-МТС AI),https://habr.com/ru/companies/mts_ai/articles/,https://habr.com/ru/rss/companies/mts_ai/articles/,блог компании (первоисточник),РФ/ru,"ИИ-инструменты: OCR, LLM, CV",~1/нед,62,вспомогательный,Технические сравнения ИИ-моделей и продуктов
Рунет / RU-источники,Calltouch.Блог,https://www.calltouch.ru/blog/,https://www.calltouch.ru/blog/feed/,блог компании (первоисточник),РФ/ru,"коллтрекинг, сквозная аналитика, лидогенерация",~3/нед,76,ядро,Кейсы с цифрами по снижению стоимости заявки
Рунет / RU-источники,Unisender «Конверт»,https://www.unisender.com/ru/blog/,https://www.unisender.com/ru/blog/feed/,блог компании / журнал (первоисточник),РФ/ru,"email-маркетинг, SMM, копирайтинг, автоматизация",неск./день,78,ядро,Высокая частота публикаций
Рунет / RU-источники (Telegram),Avito. Press room,https://t.me/AvitoLive,https://t.me/s/AvitoLive,официальный Telegram-канал компании (первоисточник),РФ/ru,"новости и апдейты Авито по всем направлениям",ежедневно,85,ядро,Пресс-служба Авито; нет RSS вообще — единственный способ мониторить обновления
Рунет / RU-источники (Telegram),Авито для бизнеса,https://t.me/avito_b2b,https://t.me/s/avito_b2b,официальный Telegram-канал компании (первоисточник),РФ/ru,"Авито Реклама, инструменты для бизнес-аккаунтов",неск./нед,78,ядро,122K подписчиков; продуктовые советы и партнёрства
Рунет / RU-источники (Telegram),Ozon Реклама,https://t.me/ozon_adv,https://t.me/s/ozon_adv,официальный Telegram-канал компании (первоисточник),РФ/ru,"рекламный кабинет Ozon, новые фичи, кейсы",неск./день,80,ядро,Самый качественный найденный канал по соответствию теме
Рунет / RU-источники (Telegram),VK Реклама,https://t.me/vk_ads,https://t.me/s/vk_ads,официальный Telegram-канал компании (первоисточник),РФ/ru,"VK Реклама, AI-инструменты для креативов",1-2/день,78,ядро,Конкретно про продукт и новые функции кабинета
Рунет / RU-источники (Telegram),Яндекс Реклама ПРО,https://t.me/yndx_ed,https://t.me/s/yndx_ed,официальный Telegram-канал компании (первоисточник),РФ/ru,"Яндекс Директ, стратегии, обновления кабинета",неск./нед,80,ядро,Прямая замена мёртвому RSS блога Яндекс Директа
Рунет / RU-источники (Telegram),Яндекс для предпринимателей,https://t.me/yandexbusiness,https://t.me/s/yandexbusiness,официальный Telegram-канал компании (первоисточник),РФ/ru,"сервисы Яндекса для бизнеса, продвижение",неск./нед,74,вспомогательный,Свежий и активный; шире чем только Директ
Рунет / RU-источники (Telegram),RetailCRM,https://t.me/retailcrm,https://t.me/s/retailcrm,официальный Telegram-канал компании (первоисточник),РФ/ru,"CRM для ритейла, кейсы, автоматизация продаж",неск./день,74,вспомогательный,Активный современный блог без обнаруженного RSS
Рунет / RU-источники (Telegram),МТС Маркетолог,https://t.me/marketolog_mts,https://t.me/s/marketolog_mts,официальный Telegram-канал компании (первоисточник),РФ/ru,"AdTech МТС, маркетинговые инструменты",неск./нед,68,вспомогательный,От команды платформы
Рунет / RU-источники (Telegram),2ГИС Бизнес,https://t.me/Business2GIS,https://t.me/s/Business2GIS,официальный Telegram-канал компании (первоисточник),РФ/ru,"гео-реклама, размещение на картах, API",редко,60,вспомогательный,Живой канал, но низкая частота — последний пост 13+ дней назад
